,Dates,Price
368,2013-08-08,4.741
369,2013-08-09,4.697
370,2013-08-12,4.739
371,2013-08-13,4.73
372,2013-08-14,4.705
373,2013-08-15,4.647
374,2013-08-16,4.795
375,2013-08-19,4.831
376,2013-08-20,4.815
377,2013-08-21,4.719
378,2013-08-22,4.674
379,2013-08-23,4.688
380,2013-08-26,4.799
381,2013-08-27,4.74
382,2013-08-28,4.572
383,2013-08-29,4.531
384,2013-08-30,4.434
385,2013-09-02,4.358
386,2013-09-03,4.367
387,2013-09-04,4.469
388,2013-09-05,4.413
389,2013-09-06,4.47
390,2013-09-09,4.552
391,2013-09-10,4.473
392,2013-09-11,4.359
393,2013-09-12,4.405
394,2013-09-13,4.405
395,2013-09-16,4.505
396,2013-09-17,4.619
397,2013-09-18,4.559
398,2013-09-19,4.542
399,2013-09-20,4.612
400,2013-09-23,4.629
401,2013-09-24,4.64
402,2013-09-25,4.701
403,2013-09-26,4.71
404,2013-09-27,4.645
405,2013-09-30,4.53
406,2013-10-01,4.508
407,2013-10-02,4.762
408,2013-10-03,4.739
409,2013-10-04,4.707
410,2013-10-07,4.709
411,2013-10-08,4.659
412,2013-10-09,4.584
413,2013-10-10,4.531
414,2013-10-11,4.446
415,2013-10-14,4.535
416,2013-10-15,4.553
417,2013-10-16,4.4
418,2013-10-17,4.409
419,2013-10-18,4.461
420,2013-10-21,4.455
421,2013-10-22,4.357
422,2013-10-23,4.406
423,2013-10-24,4.406
424,2013-10-25,4.225
425,2013-10-28,4.204
426,2013-10-29,4.17
427,2013-10-30,4.12
428,2013-10-31,4.146
429,2013-11-01,4.147
430,2013-11-04,4.097
431,2013-11-05,4.119
432,2013-11-06,3.954
433,2013-11-07,3.951
434,2013-11-08,3.849
435,2013-11-11,3.772
436,2013-11-12,3.762
437,2013-11-13,3.847
438,2013-11-14,3.781
439,2013-11-15,3.747
440,2013-11-18,3.808
441,2013-11-19,3.786
442,2013-11-20,3.841
443,2013-11-21,3.798
444,2013-11-22,3.834
445,2013-11-25,3.897
446,2013-11-26,3.933
447,2013-11-27,3.876
448,2013-11-28,3.962
449,2013-11-29,3.965
450,2013-12-02,3.974
451,2013-12-03,3.831
452,2013-12-04,3.906
453,2013-12-05,3.776
454,2013-12-06,3.792
455,2013-12-09,3.877
456,2013-12-10,3.823
457,2013-12-11,3.889
458,2013-12-12,3.84
459,2013-12-13,3.937
460,2013-12-16,3.911
461,2013-12-17,3.957
462,2013-12-18,4.044
463,2013-12-19,4.065
464,2013-12-20,4.065
465,2013-12-23,3.89
466,2013-12-24,3.847
467,2013-12-25,3.819
468,2013-12-26,3.793
469,2013-12-27,3.876
470,2013-12-30,3.984
471,2013-12-31,3.954
472,2014-01-01,3.823
473,2014-01-02,3.857
474,2014-01-03,3.931
475,2014-01-06,3.995
476,2014-01-07,4.013
477,2014-01-08,3.91
478,2014-01-09,3.837
479,2014-01-10,3.85
480,2014-01-13,3.816
481,2014-01-14,3.911
482,2014-01-15,3.971
483,2014-01-16,3.984
484,2014-01-17,4.154
485,2014-01-20,4.121
486,2014-01-21,4.023
487,2014-01-22,3.932
488,2014-01-23,4.039
489,2014-01-24,3.898
490,2014-01-27,3.957
491,2014-01-28,3.855
492,2014-01-29,3.845
493,2014-01-30,3.859
494,2014-01-31,3.916
495,2014-02-03,3.816
496,2014-02-04,3.8
497,2014-02-05,3.796
498,2014-02-06,3.766
499,2014-02-07,3.67
500,2014-02-10,3.711
501,2014-02-11,3.659
502,2014-02-12,3.622
503,2014-02-13,3.623
504,2014-02-14,3.561
505,2014-02-17,3.649
506,2014-02-18,3.728
507,2014-02-19,3.827
508,2014-02-20,3.873
509,2014-02-21,4.046
510,2014-02-24,4.129
511,2014-02-25,4.194
512,2014-02-26,4.404
513,2014-02-27,4.412
514,2014-02-28,4.255
515,2014-03-03,4.247
516,2014-03-04,4.185
517,2014-03-05,3.977
518,2014-03-06,4.02
519,2014-03-07,4.341
520,2014-03-10,4.244
521,2014-03-11,4.371
522,2014-03-12,4.489
523,2014-03-13,4.266
524,2014-03-14,4.151
525,2014-03-17,4.282
526,2014-03-18,4.355
527,2014-03-19,4.355
528,2014-03-20,4.088
529,2014-03-21,4.007
530,2014-03-24,3.874
531,2014-03-25,3.805
532,2014-03-26,3.649
533,2014-03-27,3.802
534,2014-03-28,3.595
535,2014-03-31,3.652
536,2014-04-01,3.706
537,2014-04-02,3.634
538,2014-04-03,3.795
539,2014-04-04,3.719
540,2014-04-07,3.619
541,2014-04-08,3.702
542,2014-04-09,3.642
543,2014-04-10,3.464
544,2014-04-11,3.144
545,2014-04-14,3.171
546,2014-04-15,3.03
547,2014-04-16,3.03
548,2014-04-17,3.007
549,2014-04-18,3.189
550,2014-04-21,3.094
551,2014-04-22,2.889
552,2014-04-23,2.889
553,2014-04-24,3.003
554,2014-04-25,2.882
555,2014-04-28,2.938
556,2014-04-29,2.871
557,2014-04-30,2.927
558,2014-05-01,2.946
559,2014-05-02,2.795
560,2014-05-05,2.943
561,2014-05-06,3.233
562,2014-05-07,3.158
563,2014-05-08,3.127
564,2014-05-09,3.127
565,2014-05-12,2.831
566,2014-05-13,2.974
567,2014-05-14,2.835
568,2014-05-15,2.986
569,2014-05-16,2.881
570,2014-05-19,2.981
571,2014-05-20,2.866
572,2014-05-21,2.719
573,2014-05-22,2.691
574,2014-05-23,2.68
575,2014-05-26,2.754
576,2014-05-27,2.662
577,2014-05-28,2.6
578,2014-05-29,2.579
579,2014-05-30,2.597
580,2014-06-02,2.677
581,2014-06-03,2.797
582,2014-06-04,2.713
583,2014-06-05,2.804
584,2014-06-06,2.804
585,2014-06-09,2.759
586,2014-06-10,2.831
587,2014-06-11,2.834
588,2014-06-12,2.951
589,2014-06-13,2.879
590,2014-06-16,2.902
591,2014-06-17,2.894
592,2014-06-18,2.697
593,2014-06-19,2.734
594,2014-06-20,2.698
595,2014-06-23,2.712
596,2014-06-24,2.769
597,2014-06-25,2.841
598,2014-06-26,2.839
599,2014-06-27,2.678
600,2014-06-30,2.732
601,2014-07-01,2.824
602,2014-07-02,2.734
603,2014-07-03,2.727
604,2014-07-04,2.716
605,2014-07-07,2.855
606,2014-07-08,2.92
607,2014-07-09,2.813
608,2014-07-10,2.786
609,2014-07-11,2.733
610,2014-07-14,2.786
611,2014-07-15,2.723
612,2014-07-16,2.672
613,2014-07-17,2.59
614,2014-07-18,2.644
615,2014-07-21,2.64
616,2014-07-22,2.605
617,2014-07-23,2.713
618,2014-07-24,2.713
619,2014-07-25,2.65
620,2014-07-28,2.68
621,2014-07-29,2.619
622,2014-07-30,2.528
623,2014-07-31,2.511
624,2014-08-01,2.511
625,2014-08-04,2.53
626,2014-08-05,2.61
627,2014-08-06,2.684
628,2014-08-07,2.634
629,2014-08-08,2.536
630,2014-08-11,2.575
631,2014-08-12,2.606
632,2014-08-13,2.531
633,2014-08-14,2.531
634,2014-08-15,2.49
635,2014-08-18,2.517
636,2014-08-19,2.606
637,2014-08-20,2.751
638,2014-08-21,2.776
639,2014-08-22,2.821
640,2014-08-25,2.78
641,2014-08-26,2.776
642,2014-08-27,2.734
643,2014-08-28,2.88
644,2014-08-29,2.802
645,2014-09-01,2.897
646,2014-09-02,2.935
647,2014-09-03,3.008
648,2014-09-04,3.016
649,2014-09-05,3.01
650,2014-09-08,2.948
651,2014-09-09,2.915
652,2014-09-10,2.949
653,2014-09-11,2.887
654,2014-09-12,2.887
655,2014-09-15,2.822
656,2014-09-16,2.815
657,2014-09-17,2.706
658,2014-09-18,2.642
659,2014-09-19,2.649
660,2014-09-22,2.698
661,2014-09-23,2.634
662,2014-09-24,2.626
663,2014-09-25,2.59
664,2014-09-26,2.705
665,2014-09-29,2.846
666,2014-09-30,2.891
667,2014-10-01,2.825
668,2014-10-02,2.75
669,2014-10-03,2.889
670,2014-10-06,2.894
671,2014-10-07,2.855
672,2014-10-08,2.777
673,2014-10-09,2.749
674,2014-10-10,2.738
675,2014-10-13,2.727
676,2014-10-14,2.769
677,2014-10-15,2.871
678,2014-10-16,2.773
679,2014-10-17,2.805
680,2014-10-20,2.832
681,2014-10-21,2.783
682,2014-10-22,2.822
683,2014-10-23,2.822
684,2014-10-24,2.756
685,2014-10-27,2.716
686,2014-10-28,2.685
687,2014-10-29,2.726
688,2014-10-30,2.77
689,2014-10-31,2.864
690,2014-11-03,2.84
691,2014-11-04,2.918
692,2014-11-05,2.854
693,2014-11-06,2.87
694,2014-11-07,2.823
695,2014-11-10,2.882
696,2014-11-11,2.897
697,2014-11-12,2.816
698,2014-11-13,2.776
699,2014-11-14,2.789
700,2014-11-17,2.821
701,2014-11-18,2.886
702,2014-11-19,2.768
703,2014-11-20,2.716
704,2014-11-21,2.748
705,2014-11-24,2.812
706,2014-11-25,2.798
707,2014-11-26,2.813
708,2014-11-27,2.798
709,2014-11-28,2.842
710,2014-12-01,2.844
711,2014-12-02,2.931
712,2014-12-03,2.787
713,2014-12-04,2.801
714,2014-12-05,2.728
715,2014-12-08,2.704
716,2014-12-09,2.716
717,2014-12-10,2.755
718,2014-12-11,2.676
719,2014-12-12,2.65
720,2014-12-15,2.685
721,2014-12-16,2.693
722,2014-12-17,2.638
723,2014-12-18,2.715
724,2014-12-19,2.689
725,2014-12-22,2.702
726,2014-12-23,2.648
727,2014-12-24,2.725
728,2014-12-25,2.655
729,2014-12-26,2.655
730,2014-12-29,2.71
731,2014-12-30,2.651
732,2014-12-31,2.683
733,2015-01-01,2.693
734,2015-01-02,2.758
735,2015-01-05,2.728
736,2015-01-06,2.66
737,2015-01-07,2.652
738,2015-01-08,2.605
739,2015-01-09,2.573
740,2015-01-12,2.577
741,2015-01-13,2.569
742,2015-01-14,2.591
743,2015-01-15,2.564
744,2015-01-16,2.563
745,2015-01-19,2.586
746,2015-01-20,2.524
747,2015-01-21,2.433
748,2015-01-22,2.451
749,2015-01-23,2.45
750,2015-01-26,2.47
751,2015-01-27,2.474
752,2015-01-28,2.498
753,2015-01-29,2.502
754,2015-01-30,2.535
755,2015-02-02,2.498
756,2015-02-03,2.518
757,2015-02-04,2.453
758,2015-02-05,2.43
759,2015-02-06,2.442
760,2015-02-09,2.476
761,2015-02-10,2.404
762,2015-02-11,2.386
763,2015-02-12,2.286
764,2015-02-13,2.062
765,2015-02-16,2.092
766,2015-02-17,2.033
767,2015-02-18,2.257
768,2015-02-19,2.321
769,2015-02-20,2.256
770,2015-02-23,2.253
771,2015-02-24,2.262
772,2015-02-25,2.364
773,2015-02-26,2.371
774,2015-02-27,2.3
775,2015-03-02,2.32
776,2015-03-03,2.263
777,2015-03-04,2.26
778,2015-03-05,2.361
779,2015-03-06,2.385
780,2015-03-09,2.371
781,2015-03-10,2.347
782,2015-03-11,2.276
783,2015-03-12,2.145
784,2015-03-13,2.21
785,2015-03-16,2.2
786,2015-03-17,2.206
787,2015-03-18,2.206
788,2015-03-19,2.212
789,2015-03-20,2.235
790,2015-03-23,2.231
791,2015-03-24,2.165
792,2015-03-25,2.181
793,2015-03-26,2.186
794,2015-03-27,2.067
795,2015-03-30,2.07
796,2015-03-31,2.062
797,2015-04-01,2.015
798,2015-04-02,1.99
799,2015-04-03,1.894
800,2015-04-06,1.822
801,2015-04-07,1.79
802,2015-04-08,1.755
803,2015-04-09,1.767
804,2015-04-10,1.911
805,2015-04-13,1.888
806,2015-04-14,1.983
807,2015-04-15,2.029
808,2015-04-16,2.029
809,2015-04-17,2.228
810,2015-04-20,2.37
811,2015-04-21,2.37
812,2015-04-22,2.337
813,2015-04-23,2.334
814,2015-04-24,2.325
815,2015-04-27,2.267
816,2015-04-28,2.382
817,2015-04-29,2.472
818,2015-04-30,2.396
819,2015-05-01,2.257
820,2015-05-04,2.269
821,2015-05-05,2.139
822,2015-05-06,2.1
823,2015-05-07,2.091
824,2015-05-08,2.118
825,2015-05-11,2.138
826,2015-05-12,2.139
827,2015-05-13,2.158
828,2015-05-14,2.18
829,2015-05-15,2.189
830,2015-05-18,2.182
831,2015-05-19,2.298
832,2015-05-20,2.152
833,2015-05-21,2.025
834,2015-05-22,2.038
835,2015-05-25,1.972
836,2015-05-26,2.063
837,2015-05-27,2.14
838,2015-05-28,2.098
839,2015-05-29,2.046
840,2015-06-01,1.994
841,2015-06-02,1.966
842,2015-06-03,1.903
843,2015-06-04,1.942
844,2015-06-05,1.852
845,2015-06-08,1.804
846,2015-06-09,1.821
847,2015-06-10,1.782
848,2015-06-11,1.778
849,2015-06-12,1.711
850,2015-06-15,1.791
851,2015-06-16,1.711
852,2015-06-17,1.742
853,2015-06-18,1.678
854,2015-06-19,1.639
855,2015-06-22,1.666
856,2015-06-23,1.69
857,2015-06-24,1.712
858,2015-06-25,1.752
859,2015-06-26,1.788
860,2015-06-29,1.822
861,2015-06-30,1.819
862,2015-07-01,1.851
863,2015-07-02,1.936
864,2015-07-03,1.936
865,2015-07-06,1.907
866,2015-07-07,1.828
867,2015-07-08,1.863
868,2015-07-09,1.794
869,2015-07-10,1.806
870,2015-07-13,1.848
871,2015-07-14,1.981
872,2015-07-15,1.996
873,2015-07-16,1.959
874,2015-07-17,1.956
875,2015-07-20,1.998
876,2015-07-21,1.954
877,2015-07-22,1.911
878,2015-07-23,2.018
879,2015-07-24,1.99
880,2015-07-27,1.912
881,2015-07-28,2.004
882,2015-07-29,2.036
883,2015-07-30,1.97
884,2015-07-31,1.902
885,2015-08-03,1.94
886,2015-08-04,2.088
887,2015-08-05,2.069
888,2015-08-06,2.068
889,2015-08-07,2.14
890,2015-08-10,2.063
891,2015-08-11,2.032
892,2015-08-12,2.153
893,2015-08-13,2.078
894,2015-08-14,2.178
895,2015-08-17,2.042
896,2015-08-18,2.086
897,2015-08-19,2.141
898,2015-08-20,2.076
899,2015-08-21,2.101
900,2015-08-24,2.098
901,2015-08-25,2.158
902,2015-08-26,2.173
903,2015-08-27,2.155
904,2015-08-28,2.096
905,2015-08-31,2.029
906,2015-09-01,2.048
907,2015-09-02,2.001
908,2015-09-03,2.039
909,2015-09-04,2.062
910,2015-09-07,2.055
911,2015-09-08,1.98
912,2015-09-09,1.992
913,2015-09-10,2.151
914,2015-09-11,2.169
915,2015-09-14,2.288
916,2015-09-15,2.381
917,2015-09-16,2.405
918,2015-09-17,2.398
919,2015-09-18,2.466
920,2015-09-21,2.474
921,2015-09-22,2.468
922,2015-09-23,2.617
923,2015-09-24,2.556
924,2015-09-25,2.585
925,2015-09-28,2.604
926,2015-09-29,2.595
927,2015-09-30,2.58
928,2015-10-01,2.623
929,2015-10-02,2.747
930,2015-10-05,2.768
931,2015-10-06,2.677
932,2015-10-07,2.698
933,2015-10-08,2.662
934,2015-10-09,2.716
935,2015-10-12,2.89
936,2015-10-13,2.863
937,2015-10-14,2.924
938,2015-10-15,2.987
939,2015-10-16,2.764
940,2015-10-19,2.786
941,2015-10-20,2.777
942,2015-10-21,2.801
943,2015-10-22,2.702
944,2015-10-23,2.734
945,2015-10-26,2.727
946,2015-10-27,2.756
947,2015-10-28,2.722
948,2015-10-29,2.728
949,2015-10-30,2.658
950,2015-11-02,2.692
951,2015-11-03,2.777
952,2015-11-04,2.747
953,2015-11-05,2.712
954,2015-11-06,2.66
955,2015-11-09,2.873
956,2015-11-10,2.873
957,2015-11-11,2.876
958,2015-11-12,2.771
959,2015-11-13,2.733
960,2015-11-16,2.839
961,2015-11-17,2.834
962,2015-11-18,2.772
963,2015-11-19,2.748
964,2015-11-20,2.615
965,2015-11-23,2.561
966,2015-11-24,2.551
967,2015-11-25,2.586
968,2015-11-26,2.59
969,2015-11-27,2.617
970,2015-11-30,2.619
971,2015-12-01,2.674
972,2015-12-02,2.584
973,2015-12-03,2.679
974,2015-12-04,2.761
975,2015-12-07,2.796
976,2015-12-08,2.846
977,2015-12-09,2.871
978,2015-12-10,2.853
979,2015-12-11,2.827
980,2015-12-14,2.887
981,2015-12-15,2.792
982,2015-12-16,2.717
983,2015-12-17,2.676
984,2015-12-18,2.676
985,2015-12-21,2.806
986,2015-12-22,2.797
987,2015-12-23,2.915
988,2015-12-24,2.909
989,2015-12-25,2.889
990,2015-12-28,2.927
991,2015-12-29,2.948
992,2015-12-30,2.934
993,2015-12-31,3.047
994,2016-01-04,3.057
995,2016-01-05,2.99
996,2016-01-06,2.955
997,2016-01-07,2.997
998,2016-01-08,2.996
999,2016-01-11,2.952
1000,2016-01-12,2.959
1001,2016-01-13,2.906
1002,2016-01-14,2.923
1003,2016-01-15,2.964
1004,2016-01-19,3.041
1005,2016-01-20,3.049
1006,2016-01-21,3.193
1007,2016-01-22,3.275
1008,2016-01-25,3.237
1009,2016-01-26,3.21
1010,2016-01-27,3.341
1011,2016-01-28,3.285
1012,2016-01-29,3.244
1013,2016-02-01,3.263
1014,2016-02-02,3.17
1015,2016-02-03,3.141
1016,2016-02-04,2.993
1017,2016-02-05,2.831
1018,2016-02-08,2.774
1019,2016-02-09,2.731
1020,2016-02-10,2.764
1021,2016-02-11,3.105
1022,2016-02-12,3.026
1023,2016-02-16,2.902
1024,2016-02-17,2.792
1025,2016-02-18,2.769
1026,2016-02-19,2.767
1027,2016-02-22,2.816
1028,2016-02-23,2.633
1029,2016-02-24,2.69
1030,2016-02-25,2.632
1031,2016-02-26,2.619
1032,2016-02-29,2.749
1033,2016-03-01,2.709
1034,2016-03-02,2.764
1035,2016-03-03,2.703
1036,2016-03-04,2.843
1037,2016-03-07,2.95
1038,2016-03-08,2.982
1039,2016-03-09,3.026
1040,2016-03-10,3.085
1041,2016-03-11,3.232
1042,2016-03-14,3.315
1043,2016-03-15,3.352
1044,2016-03-16,3.505
1045,2016-03-17,3.436
1046,2016-03-18,3.654
1047,2016-03-21,3.635
1048,2016-03-22,3.603
1049,2016-03-23,3.695
1050,2016-03-24,3.746
1051,2016-03-28,3.507
1052,2016-03-29,3.474
1053,2016-03-30,3.54
1054,2016-03-31,3.434
1055,2016-04-01,3.415
1056,2016-04-04,3.392
1057,2016-04-05,3.263
1058,2016-04-06,3.542
1059,2016-04-07,3.662
1060,2016-04-08,3.662
1061,2016-04-11,3.761
1062,2016-04-12,3.93
1063,2016-04-13,3.802
1064,2016-04-14,3.724
1065,2016-04-15,3.327
1066,2016-04-18,3.267
1067,2016-04-19,3.273
1068,2016-04-20,3.285
